,keyword,importance,total_importance
1454,"loan, licensing fee, checks, pay, carvana",0.3003-0.2381-0.2266-0.2094-0.202,1.18
1455,"carvana mn, cashiers check, carvana, cash buy, may 3rd email",0.4211-0.399-0.3926-0.323-0.3066,1.84
1456,"negative stars, defective car, carvana, return, car",0.4132-0.3998-0.345-0.3099-0.2635,1.73
1457,"vehicle delivery, carvana advocate, carvana, anticipated vehicle, delivery",0.5778-0.4697-0.4597-0.4205-0.3979,2.33
1458,"carvana care, carvana, real dealership, dealership, stressful car experience",0.6417-0.6094-0.4817-0.4461-0.4129,2.59
1459,"carvana warranty, day money back guarantee, warranty, warranty arm, experience buying cars",0.6108-0.4794-0.4524-0.4351-0.43,2.41
1460,"new car, bigger car, second purchase, loan, paperwork",0.2667-0.2649-0.2633-0.262-0.259,1.32
1461,"3rd party delivery, customer service, customer, driver, transport company",0.3455-0.3397-0.3189-0.2851-0.2664,1.56
1462,"steering wheel, vehicle, second vehicle, found vehicle, steering",0.4236-0.4164-0.4095-0.3854-0.3853,2.02
1463,"vehicle carvana, carvana, purchase agreement, loan, payment",0.5198-0.4224-0.4137-0.3565-0.3371,2.05
1464,"tags, horrible company, fix, company, problem",0.4545-0.3719-0.364-0.3096-0.2753,1.78
1465,"registration laws, customer service agent, registration paperwork, customer service, registration",0.3457-0.3306-0.3108-0.3029-0.2895,1.58
1466,"a1 credit, dealership, need carvana, gmc terrain, carvana",0.3967-0.3744-0.369-0.3386-0.2985,1.78
1467,"prices, buy, purchase, purchase contract, low book value",0.3721-0.3487-0.315-0.2838-0.2733,1.59
1468,"old school car purchasing, full payment cash wire, carvana, local dealer, got car",0.4418-0.4231-0.3797-0.3221-0.3148,1.88
1469,"flat tire, tire kingdom, tire, tires, audi",0.5485-0.4469-0.4362-0.3777-0.3442,2.15
1470,"car issue, carvana, car days, rescheduled, car",0.5057-0.4119-0.3819-0.3746-0.3679,2.04
1471,"different vehicle, carvana, swap vehicle, vehicle, delivery",0.479-0.4603-0.4517-0.4516-0.331,2.17
1472,"car purchase, purchase insurance, insurance, backup camera, got car",0.4001-0.398-0.3745-0.3696-0.33,1.87
1473,"financing applicants, loan application, carvana, financing, pre - approval",0.5303-0.4511-0.4507-0.4431-0.3946,2.27
1474,"new registration paperwork, registration paperwork, paperwork, payments, new registration",0.3531-0.3392-0.2858-0.2822-0.2723,1.53
1475,"carvana * * * * * * *, carvana * * * * *, carvana * * * *, carvana, car",0.6695-0.6666-0.662-0.6077-0.3947,3.0
1476,"registration nightmare, registration transfer, registration, temporary tag, transfer",0.6579-0.6579-0.5788-0.3875-0.3557,2.64
1477,"carvana, good cars, risk, engine, cars",0.5188-0.4388-0.3615-0.3582-0.3491,2.03
1478,"jeep renegade, vehicle carvana, vehicle, jeep, carvan",0.5137-0.5085-0.464-0.4398-0.4326,2.36
1479,"carvana, discrepancies, estimator, payment, account",0.5061-0.3322-0.2456-0.2438-0.2154,1.54
1480,"documents, ridiculous, employees, information, vehicle",0.4092-0.1854-0.1656-0.1566-0.1427,1.06
1481,"second car, car company, documents, purchase, car",0.3748-0.368-0.3436-0.2654-0.2119,1.56
1482,"* dealership, dealership, * * * * * dealership, * * * * dealership, new transmission",0.4262-0.4242-0.4183-0.418-0.4042,2.09
1483,"good customer service experiences, delivery fee, delivery service, customer service, carvana",0.4219-0.3726-0.3717-0.3356-0.3327,1.83
1484,"car payment, purchase vehicle, hard credit, credit, payment",0.5175-0.4648-0.4337-0.3715-0.3667,2.15
1485,"cashiers check, new check, delivery date, car buying process, new delivery",0.4188-0.3634-0.3546-0.3402-0.3239,1.8
1486,"car title, registration tags, dealer compliant, expired registration, registration",0.4841-0.4476-0.4003-0.3866-0.3579,2.08
1487,"delivery date, cancel, processno negotiation, negotiation, poor business model",0.3873-0.3782-0.3584-0.3194-0.3151,1.76
1488,"carvana, car repair facility, car repair, different vehicle, vehicle",0.5237-0.5039-0.4908-0.4809-0.4208,2.42
1489,"carvana warranty company, carvana warranty, warranty company, warranty, nevada",0.4692-0.4599-0.4229-0.3665-0.3546,2.07
1490,"state inspection, inspection, state inspection boy, earliest delivery time, staffing issue",0.4306-0.368-0.3618-0.3394-0.3391,1.84
1491,"carvana, recommend carvana, carvana site, damage claims, repairs",0.5115-0.476-0.47-0.4593-0.3532,2.27
1492,"cash payment, payment, car trade, car insurance, total balance",0.4329-0.4158-0.3868-0.3561-0.3306,1.92
1493,"car delivery, delivery dates, delivery, false delivery, dates",0.6483-0.637-0.4957-0.4772-0.3326,2.59
1494,"review, change online, trust, change, safe",0.4244-0.3833-0.2548-0.2354-0.2235,1.52
1495,"purchase vehicle, credit approval, credit, payment, substantial payment",0.4886-0.4068-0.323-0.3136-0.2802,1.81
1496,"vehicle sale, purchase carvana, inspection, point inspection, vehicle",0.4777-0.4441-0.411-0.3363-0.3006,1.97
1497,"car carvana, carvana, carvana everything, agents, agent",0.4555-0.4173-0.4068-0.3943-0.3855,2.06
1498,"car family, bbb, $ car, advocate, car",0.3023-0.3017-0.2882-0.2568-0.2253,1.37
1499,"* * * * * mi warranty, warranty, inspection, attorney today, positive battery terminal",0.4522-0.347-0.3214-0.3091-0.2858,1.72
1500,"f150, sale, selling, offer amount, spam",0.4109-0.3744-0.3236-0.3203-0.2311,1.66
1501,"unprofessional job, worst department, employee, carvana, unprofessional",0.4875-0.3663-0.3489-0.3442-0.3272,1.87
1502,"carvana llc, carvana, used car online, car online, worst company",0.6643-0.5062-0.464-0.4425-0.3991,2.48
1503,"car carvana, carvana, reimburse, car * * * * *, insufficient notice",0.4733-0.4141-0.4131-0.2547-0.2524,1.81
1504,"* * * * * * avalon hybrid, hybrid batteries, hybrid, carvana, * * * * * * avalon",0.5596-0.4625-0.4374-0.4027-0.3778,2.24
1505,"carvana advertise, complaint, carvana, faulty engines coil, * * * carvana",0.4308-0.3916-0.3736-0.3642-0.3555,1.92
1506,"carvana financing, carvana funding, 3rd party lender process, exchange vehicle, carvana",0.6396-0.523-0.4967-0.482-0.4382,2.58
1507,"carvana, unacceptable service, email, account, service",0.3958-0.3661-0.3321-0.3172-0.2997,1.71
1508,"jeep wrangler, jeep, vent door, initial inspection, vehicle",0.4231-0.4075-0.3199-0.2785-0.2623,1.69
1509,"carvana financing, scam carvana, carvana, financing, car purchase",0.7138-0.6101-0.466-0.4556-0.4419,2.69
1510,"one star, star, company, * * * * * * * *, business",0.4891-0.4332-0.3089-0.262-0.2547,1.75
1511,"inspection, paint correction, rear window molding, rear windshield, cosmetic repair",0.4559-0.3969-0.3903-0.3563-0.3452,1.94
1512,"awful company, bank, company, buy, title",0.3447-0.3021-0.2925-0.2874-0.262,1.49
1513,"inspection, damages, warranty, carvana, point inspection",0.422-0.4026-0.2984-0.293-0.2891,1.71
1514,"person carmax dealership, dealership, carvana, day pay, verbal pay",0.4022-0.3606-0.3155-0.3087-0.3059,1.69
1515,"carvana, recommend carvana, car delivery, cancel, delivery",0.5027-0.4886-0.4226-0.4136-0.3253,2.15
1516,"delivery delays, day delay, delays, delayed, delay",0.5798-0.4882-0.4572-0.4468-0.3926,2.36
1517,"registration, registrations, registration tags, car delivery, carvana",0.4976-0.454-0.425-0.4129-0.3982,2.19
1518,"car carvana, carvana, vehicle, vehicles, car",0.6644-0.5911-0.412-0.3675-0.3351,2.37
1519,"carvana, meantime carvana, loan, dealership, zero stars",0.4692-0.4555-0.3802-0.3504-0.297,1.95
1520,"car delivery, rescheduled, delivery dates, carvana, compensation",0.4713-0.4078-0.3773-0.3539-0.3031,1.91
1521,"caravana, tesla, fraud, legal action, delivery",0.3871-0.3667-0.3533-0.3525-0.2708,1.73
1522,"carvana, poor customer service, contract, customer service, customer",0.4448-0.3919-0.3375-0.3313-0.2809,1.79
1523,"terrible company, signatures, electronic signatures, drove, company",0.4219-0.2932-0.2735-0.2441-0.2329,1.47
1524,"day warranty, days warranty, warranty process, complete diagnostic day, day delivery",0.4013-0.3864-0.3683-0.3625-0.3325,1.85
1525,"car delivery, inspection, car repair, carvana, delivery",0.3948-0.3569-0.3567-0.3305-0.2977,1.74
1526,"timelines, order, purchase, sale, days",0.3577-0.3406-0.337-0.3304-0.2733,1.64
1527,"water damage, lemon law, lemon, warranty, vehicle",0.4547-0.4032-0.3386-0.2921-0.2685,1.76
1528,"inspection, point inspection, car carvana, new car, carvana",0.5045-0.4894-0.4223-0.3598-0.3027,2.08
1529,"inspection, rental car, new vehicle, new car, vehicle",0.4164-0.3645-0.326-0.2931-0.293,1.69
1530,"account deletion, personal data, privacy portal, privacy, account",0.6152-0.5341-0.4398-0.3553-0.3266,2.27
1531,"damaged vehicle, carvana driver, financial irresponsible, financial responsibility, damages",0.5224-0.4938-0.4507-0.4323-0.4237,2.32
1532,"car carvana, carvana, carvana dashboard, 2nd temp license tags, different vehicle",0.5194-0.4397-0.4218-0.4008-0.3795,2.16
1533,"carvana, dealerships, vehicle, customer, car",0.4653-0.4502-0.3854-0.3714-0.3604,2.03
1534,"dealer, paperwork, purchasing, different car, transaction",0.3645-0.3293-0.3148-0.2966-0.2823,1.59
1535,"refund, tracking number, different customer service, order, customer service",0.4166-0.2951-0.2496-0.2352-0.2331,1.43
1536,"poor customer service, delivery date, customer service, deliver, delivery",0.5957-0.5309-0.4757-0.4674-0.4547,2.52
1537,"worst car buying experience, worst car buying, car buying experience, car buying, new contract",0.4912-0.434-0.4284-0.4233-0.3474,2.12
1538,"carvana!car buying, carvana, loan company, sketchy loan company, loan",0.7471-0.6339-0.4209-0.3876-0.3832,2.57
1539,"bad customer service, new car, bad customer, customer service, customer",0.3762-0.3533-0.3481-0.3193-0.3071,1.7
1540,"appraisal, appointments, terrible business, manual reviews, call",0.4872-0.4268-0.2972-0.2875-0.2858,1.78
1541,"purchase vehicle, car registration, car note, vehicle, car",0.5401-0.5152-0.4847-0.3814-0.3532,2.27
1542,"business carvana, legitimate car dealership, car online, carvana, carvana representative",0.5487-0.5078-0.4264-0.4247-0.413,2.32
1543,"orders car, car online, delivery, delay, * * * * delay",0.4101-0.3887-0.3327-0.3157-0.2995,1.75
1544,"delivery time, delayed, delivery date, insurance, delivery",0.4103-0.3832-0.3604-0.3311-0.3004,1.79
1545,"purchase vehicle, credit check, bank, cancel, utility bills",0.3584-0.3553-0.3287-0.3009-0.2816,1.62
1546,"dealership, car rental, payment changes, * * * * * car, payment",0.481-0.4767-0.3353-0.319-0.3165,1.93
1547,"horrible carvana experience, vehicle carvana, payment carvana, carvana experience, horrible carvana",0.715-0.7082-0.6907-0.666-0.665,3.44
1548,"damaged vehicle, different vehicle, carvana, vehicle, dealing",0.455-0.3388-0.3373-0.334-0.3333,1.8
1549,"delivery dates, new delivery date, delivery date, new broken promises, range rover",0.5312-0.5121-0.4715-0.4271-0.4161,2.36
1550,"delivery date, delivery, order, car, buying",0.4712-0.3566-0.3065-0.2962-0.295,1.73
1551,"car carvana, temporary operational plate, registration, carvana, registration process",0.3909-0.3794-0.3319-0.3243-0.3128,1.74
1552,"nearest carvana location, carvana, dealership, appointment, first appointment",0.4527-0.4008-0.3933-0.348-0.3123,1.91
1553,"worst company, customer service, better business bureau, carvana, complaint",0.5623-0.5291-0.4944-0.4626-0.426,2.47
1554,"car purchase, delivery notice, car payments, car loan, reschedule",0.3958-0.3809-0.3794-0.3725-0.2984,1.83
1555,"vehicle, carvana, cars, braking, worst place",0.5611-0.5457-0.4417-0.3578-0.3475,2.25
1556,"junk car, vehicle, shop, car, company",0.4761-0.3407-0.3297-0.3227-0.322,1.79
1557,"carvana care, car service, customer issues, carvana, document customer issues",0.4961-0.4835-0.434-0.4245-0.3967,2.23
1558,"warranty company, warranty, purchasing, buy, buyer beware",0.5447-0.4777-0.4339-0.3731-0.3673,2.2
1559,"car carvana, loan payments, credit report, loan, carvana",0.4742-0.4402-0.3928-0.3857-0.3702,2.06
1560,"car market, review, reviews, used car market, false advertising",0.4473-0.4377-0.432-0.4276-0.4027,2.15
1561,"worst car buying process, worst car buying, temporary tags, temporary tag, car delivery",0.433-0.3807-0.3578-0.3559-0.3385,1.87
1562,"multiple cars, new car, cancellations, multiple cancellations, car",0.3547-0.3275-0.3007-0.2863-0.2836,1.55
1563,"brake damage, brakes, back brake pads, brake, back rotors",0.5316-0.3857-0.3756-0.3754-0.3473,2.02
1564,"title, car, company, get, ca",0.3677-0.3493-0.3409-0.2069-0.2068,1.47
1565,"carvana, replacement car, recommend carvana, bad clutch, deliver",0.3725-0.3705-0.3692-0.3196-0.3104,1.74
1566,"lyft, lyft rides, inspection, inspecting, vehicle",0.5074-0.4646-0.4386-0.2999-0.2635,1.97
1567,"vehicles sales tax, new insurance card, current insurance card, insurance card, carvana",0.433-0.4167-0.4027-0.3873-0.3713,2.01
1568,"awful, reviews, business, cancel, delayed",0.3836-0.3288-0.2861-0.2664-0.235,1.5
1569,"delivery date, time delivery, rescheduled, car carvana, delivery",0.401-0.3567-0.3432-0.3372-0.3331,1.77
1570,"car buying experience, car buying, negative reviews, honest reviews, car dealer",0.5668-0.477-0.4161-0.3493-0.337,2.15
1571,"carvana, delivery, car hours, unprofessional, vehicle",0.3753-0.2857-0.2847-0.2773-0.2761,1.5
1572,"defective vehicle, lemon, inspection, vehicle",0.5723-0.4894-0.4688-0.37,1.9
1573,"carvana, * * * carvana, financing, new tags, bank",0.3775-0.3679-0.367-0.3442-0.3132,1.77
1574,"scam, vehicle inspection process, vehicle inspection, deposit, inspection process",0.3972-0.3826-0.3748-0.3408-0.3361,1.83
1575,"carvana, refund, process .. payment, vehicle, delivered",0.4746-0.4289-0.3566-0.334-0.3215,1.92
1576,"carvana purchase, shipping logistics, shipping, carvana, delivered",0.4886-0.4232-0.4187-0.3468-0.3249,2.0
1577,"reschedule, call, fault)and reschedule, work schedule, appropriate time",0.2971-0.2858-0.2844-0.2518-0.2134,1.33
1578,"scam, customer service, overnight check, set appointment, appointment",0.3353-0.3352-0.3333-0.296-0.2774,1.58
1579,"original delivery date, delivery date, jeep grand cherokee, original delivery, delayed",0.4214-0.3735-0.3595-0.3565-0.3213,1.83
1580,"carvana care, insurance, carvana requirement, carvana, * * * carvana",0.4471-0.4227-0.3949-0.3494-0.3203,1.93
1581,"repairs, car carvana, inspection, carvana, inspections",0.4618-0.4467-0.3689-0.3687-0.3508,2.0
1582,"schedule delivery, delivery date, time delivery, carvana, delivery",0.4556-0.3846-0.3775-0.3764-0.3558,1.95
1583,"black jeep cherokee, jeep cherokee, jeep, vehicle repair request, coolant",0.498-0.4875-0.4348-0.3678-0.3423,2.13
1584,"carvana experience, carvana, inspection, point inspection, rust",0.5989-0.5058-0.4424-0.3781-0.2725,2.2
1585,"extended warranty, limited warranty, warranty, vehicle carvana, car major issues",0.4867-0.4548-0.4466-0.4388-0.4209,2.25
1586,"temporary license tags, registration, temporary license, license, ash",0.5337-0.5286-0.5182-0.493-0.34,2.41
1587,"warranty mileage, warranty date, a3 audi, warranty, audi",0.4119-0.4014-0.3853-0.3721-0.3702,1.94
1588,"car carvana, carvana, approved, unethical business practice, insurance",0.4509-0.3548-0.3546-0.3303-0.3235,1.81
1589,"company, bad experience, * * * * * * * *, * * * * * * *, experience",0.3954-0.2635-0.2246-0.2138-0.2127,1.31
1590,"delayed, delay, rebuilt transmission, transmission, delivery",0.4309-0.3571-0.3414-0.3385-0.3149,1.78
1591,"verification emails, delayed, delay, verification, third party loan",0.4735-0.4282-0.3362-0.3249-0.3224,1.89
1592,"delivery schedule, cadillac srx, cadillac, transportation issue, deliver",0.4163-0.403-0.3705-0.364-0.3564,1.91
1593,"little tattooing business, car, business, need, little",0.6975-0.4226-0.2718-0.2182-0.1783,1.79
1594,"temporary registration, temporary registration expire, registration, trade ins paperwork, paperwork incorrect",0.538-0.524-0.4973-0.4891-0.4803,2.53
1595,"noise, * * * * * odyssey, sunroof, vehicles, carvana family",0.357-0.3183-0.286-0.285-0.2798,1.53
1596,"car delivery date, car delivery, inspection, warranty, limited warranty",0.4374-0.4201-0.3992-0.3652-0.3607,1.98
1597,"carvana, delay email, fraudulent company, purchase vehicle, customer service agents",0.4095-0.3942-0.3791-0.3761-0.3537,1.91
1598,"purchase submission, purchase contract, financing, different customer service representatives, car carvana",0.4611-0.4033-0.386-0.3565-0.3556,1.96
1599,"car carvana, carvana, lawyer, return, vehicle",0.4778-0.397-0.2954-0.2847-0.2742,1.73
1600,"car buying experience, carvana purchase, car buying, dealership, review",0.5044-0.5043-0.4772-0.3965-0.3862,2.27
1601,"customer service rep, nice customer service rep, dealer, customer service, delayed",0.3221-0.3065-0.2992-0.2871-0.2726,1.49
1602,"veteran organizations, disabled veteran, hour!my vehicle offer, veteran, pay",0.3604-0.3052-0.2664-0.2518-0.2444,1.43
1603,"carvana, price gouging, vehicles, market value, market",0.6244-0.3175-0.3128-0.2967-0.2843,1.84
1604,"scam, dangerous company, vehicles engine, inspection, recalls",0.3741-0.3466-0.3416-0.3403-0.3256,1.73
1605,"protection plan, call, cheaper car * * * * * *, payment, got car",0.3468-0.2632-0.2539-0.2031-0.203,1.27
1606,"horrible customer service, customer service, carvana issues, * * * carvana, registration",0.3747-0.3622-0.3551-0.3151-0.3097,1.72
1607,"car carvana, carvana, buying, insurance, car",0.5331-0.4519-0.3273-0.3205-0.2979,1.93
1608,"rust, much rust, left rear suspension, car, buy",0.3808-0.3262-0.3165-0.2996-0.2251,1.55
1609,"faulty moon roof, repairs, rescheduled, tire pressure light, tire",0.3545-0.3372-0.3265-0.311-0.3066,1.64
1610,"file claim, battery, speed limit, speed, low speed",0.3773-0.2726-0.2504-0.2455-0.2447,1.39
1611,"new tire, reimbursement, bad tire, receipt, tire",0.3421-0.3214-0.3155-0.2951-0.2934,1.57
1612,"license plates, toll tags, customer support, registration, carvana",0.4529-0.4004-0.3949-0.3733-0.3723,1.99
1613,"delay delivery, reschedule, delayed, delay, valentines day",0.4777-0.3913-0.3674-0.3621-0.3505,1.95
1614,"carvana loan, carvana, insurance * * * *, insurance, new car",0.5925-0.4812-0.3825-0.3387-0.3274,2.12
1615,"appointments cancellation carvana, carvana car, carvana, day money back guarantee, incompetent delivery team",0.6062-0.4362-0.3938-0.3776-0.3723,2.19
1616,"carvana, day guarantee, guarantee, vehicle, transaction",0.4887-0.4807-0.4351-0.3464-0.3214,2.07
1617,"purchase vehicle, carvana.com, vehicle, car, damage",0.5633-0.5197-0.4121-0.3504-0.283,2.13
1618,"uber drivers, uber driver, discrimination, * * uber drivers, uber",0.4511-0.4328-0.4271-0.41-0.4064,2.13
1619,"customer support, customers, customer, support, stressful experience",0.6441-0.4295-0.4224-0.3583-0.3374,2.19
1620,"original delivery date, carvana, delivery date, original delivery, delivery",0.5012-0.4626-0.4458-0.4008-0.3751,2.19
1621,"cashiers check, deliver truck, transaction, deliver, delayed",0.4198-0.4034-0.3329-0.2953-0.2825,1.73
1622,"horrible company carvana, warranty company, buy, dollar truck, recalls",0.3625-0.3489-0.3457-0.3404-0.3373,1.73
1623,"rescheduled, convenient time frame, convenient time, time frame, single promise",0.6317-0.3585-0.3132-0.3094-0.3076,1.92
1624,"worst customer service, customer service, customer, bank, pdf version",0.4402-0.4067-0.3056-0.3044-0.284,1.74
1625,"recruitment agency carvana use, carvana, complaint, name, call",0.6087-0.4831-0.3255-0.2377-0.1923,1.85
1626,"car, months, purchasing, cool",0.3219-0.203-0.2016-0.1852,0.91
1627,"bad company, ripoff, company, bad, offer",0.5821-0.5223-0.4307-0.3644-0.2362,2.14
1628,"worst car buying experience, single worst car buying experience, worst car buying, car buying experience, car buying",0.7211-0.7114-0.6535-0.6277-0.5553,3.27
1629,"used car dealer, key fobs, car dealer, many paint defects, dealer",0.3571-0.337-0.3305-0.3289-0.3123,1.67
1630,"car issues, credit approval, car dealership, dealership, credit check",0.4237-0.3698-0.3082-0.3071-0.3014,1.71
1631,"carvana delivery, carvana advertise, incorrect mileage, worst scam, scam",0.5264-0.4798-0.4451-0.414-0.4092,2.27
1632,"cash vehicle, vehicle * * * * * *, vehicle * * *, vehicle, vehicle problems",0.5264-0.3733-0.3699-0.3659-0.3644,2.0
1633,"broken carvana car, carvana car, broken cars, delays, carvana mechanic",0.5242-0.4569-0.4096-0.3873-0.3854,2.16
1634,"order cancellation, return call, acceptable customer service, actual order process, customer service",0.5125-0.3977-0.3954-0.3805-0.3751,2.06
1635,"worst customer service, customer service, delivery issues, customer, carvana",0.7207-0.5645-0.4861-0.45-0.3838,2.61
1636,"negative review, repossession, review, warranty, payments",0.6148-0.4546-0.3907-0.3387-0.2785,2.08
1637,"vehicle carvana, carvana, excuses carvana, vehicle * * *, vehicle * * * * * *",0.564-0.432-0.4318-0.396-0.3916,2.22
1638,"experience, amazing experience, car, employees, awesome",0.3758-0.3711-0.2706-0.2282-0.1628,1.41
1639,"credit score, credit bur, credit eventhough, risk, credit",0.4221-0.388-0.3696-0.36-0.3217,1.86
1640,"carvana april, mini, awful customer service, customer service, carvana",0.4061-0.3869-0.3765-0.3564-0.3439,1.87
1641,"delivery time, scheduling delivery, delivery date, edit order, delivery",0.4519-0.4332-0.4088-0.3619-0.3393,2.0
1642,"car selling, buying process, payment, dealership, transaction",0.4671-0.3926-0.3871-0.3732-0.3422,1.96
1643,"car delivery, car delivery date, delays, huge inconvenience, delivery",0.4987-0.4441-0.3324-0.2924-0.286,1.85
1644,"dodge challenger, carvana, dodge, car, bad oil leak",0.5362-0.4641-0.353-0.3289-0.3012,1.98
1645,"registration!!!i, registrationstill, registration, tesla proof, tesla",0.4482-0.433-0.4254-0.3758-0.3644,2.05
1646,"return vehicle, cadillac, check engine, vehicle, check engine light",0.5343-0.4007-0.3803-0.3703-0.341,2.03
1647,"carvana, * * * dealer, * * * * dealer, dealer, * * * * * dealer",0.6021-0.371-0.3709-0.3651-0.3633,2.07
1648,"return, return period, return day, complete cluster, car payments",0.3871-0.3793-0.3678-0.3216-0.3044,1.76
1649,"pickup, camry, * * * * * * camry, car, reviews",0.4279-0.3995-0.3575-0.3345-0.3322,1.85
1650,"car purchase, second delivery time, trust carvana, carvana, car repair",0.4234-0.4174-0.4045-0.3663-0.3419,1.95
1651,"odometer discrepancy, * * * inspection document, car buying process, car buying, inspection",0.4338-0.4324-0.4173-0.3821-0.3731,2.04
1652,"carvana, recommend carvana, complaint, cancel, phone text",0.3514-0.3463-0.2715-0.2606-0.252,1.48
1653,"broken car, dealership, customer support, delivery day, car",0.4611-0.374-0.3502-0.3226-0.2948,1.8
1654,"carvana, registration, registration process, actual license plates, license plates",0.4655-0.45-0.415-0.4024-0.3716,2.1
1655,"delivery date, delivery, new delivery date, carvana, delayed",0.4385-0.4084-0.4078-0.407-0.3944,2.06
1656,"customer support, purchase vehicle, logistics division, credit run, customer reps",0.5076-0.4552-0.3757-0.3672-0.3655,2.07
1657,"day return policy, return policy, carvana issues, payments, customer service",0.4155-0.3728-0.35-0.3472-0.3375,1.82
1658,"last rescheduled delivery, rescheduled, delivery date, first delivery date, delivery",0.6201-0.4942-0.4129-0.3864-0.376,2.29
1659,"buick, buick encore, registration, paperwork, car",0.3665-0.3623-0.3374-0.3072-0.2631,1.64
1660,"worst car buying experience, purchase vehicle, carvana vehicle, car buying experience, car buying",0.4569-0.4472-0.4418-0.4361-0.436,2.22
1661,"carvana nightmare, dealership, carvana, vehicle, loan",0.3676-0.3522-0.3372-0.3363-0.3333,1.73
1662,"car carvana, small claims court, carvana, claims, court",0.5128-0.4967-0.4499-0.3263-0.3232,2.11
1663,"worst car buying experience, car buying, car buying experience, worst car buying experience every, worst car buying",0.4474-0.4385-0.4338-0.4222-0.3835,2.13
1664,"dealership, normal dealership, carvana, purchase process, loan",0.4337-0.4309-0.3509-0.3032-0.2934,1.81
1665,"problem jeep, jeep friday, jeep thursday, seatbelts, jeep",0.5146-0.4813-0.4734-0.4569-0.4397,2.37
1666,"new delivery date, firm delivery date, delivery date, delivery, e - contracts",0.4071-0.3996-0.3985-0.3538-0.3309,1.89
1667,"buying experience, purchasing, refund, carvana lied, * * * * * * rav4 xle",0.3895-0.3535-0.3532-0.3506-0.3445,1.79
1668,"problem carvana, car carvana, carvana, vehicle, car",0.5488-0.5418-0.5006-0.3194-0.2698,2.18
1669,"car buying process, car buying process dec, car buying, buying process, bad weather",0.5544-0.5373-0.482-0.368-0.3522,2.29
1670,"rating, rescheduled, delivery, smooth transaction, deliver",0.4145-0.3692-0.3179-0.2552-0.2535,1.61
1671,"credit score, credit, credit karma, legal usury, money",0.5113-0.4302-0.4223-0.3545-0.191,1.91
1672,"appointment, rescheduled, car delivery, delivery, delayed",0.4217-0.332-0.321-0.294-0.2712,1.64
1673,"worst car buying experience, worst car buying, car buying experience, worst car, car buying",0.5331-0.456-0.4464-0.3975-0.3724,2.21
1674,"repaired car, unreported accident, vehicles, long delays, delays",0.4487-0.3793-0.3509-0.3425-0.3207,1.84
1675,"delay delivery, delivery delays, delivery, carvana, delays",0.6224-0.6151-0.4775-0.4773-0.4334,2.63
1676,"car online, * * * transmission, transmission, buy, car",0.5184-0.3884-0.373-0.2508-0.2469,1.78
1677,"expensive ubers, ubers, carvana, inspection, point inspection",0.4372-0.3872-0.3735-0.3647-0.3334,1.9
1678,"carvana, car, driver, sell, selling",0.368-0.3617-0.2671-0.2518-0.2511,1.5
1679,"warranty silver rock, vehicle, license plates, dealer, silver rock bit",0.515-0.4182-0.4058-0.4005-0.3732,2.11
1680,"deliveries, car, month, still",0.5054-0.2957-0.2219-0.1406,1.16
1681,"sale price, pricing, website price, dealership, contract",0.4176-0.3551-0.3469-0.3391-0.3273,1.79
1682,"* * * * * * 3.5l sv, scam, dollars, typo, $",0.5405-0.3299-0.3173-0.2977-0.2408,1.73
1683,"one star, carvana, star, recommend carvana, carvana preys",0.6153-0.5703-0.5575-0.5442-0.46,2.75
1684,"scammers, bureaus, credit report, high payment, high finance rate",0.433-0.4086-0.355-0.3532-0.3395,1.89
1685,"original temp plates, temp plates, plates, carvana, carvana several times",0.4763-0.4454-0.3977-0.3291-0.3179,1.97
1686,"car carvana, paperwork, legal action, used car, delivery",0.3668-0.3326-0.3065-0.3032-0.2954,1.6
1687,"carvana employee, carvana, inspection, warranty claim, car needs",0.4766-0.385-0.3545-0.3399-0.3279,1.88
1688,"carvana, shaqueetas car lot, name chardonnet white, chardonnet, car lot",0.4949-0.3473-0.3132-0.3064-0.2768,1.74
1689,"car deal, carvanas vehicle, new insurance policy thanks, whole new insurance policy, dealer",0.4081-0.3887-0.3503-0.3456-0.3451,1.84
1690,"car insurance, unnecessary car insurance, truck, reimburse, insurance",0.3736-0.3521-0.3481-0.3028-0.2964,1.67
1691,"legal dealer tag, legitimate paper tag, car dealers, rental car, dealers",0.5292-0.4125-0.3586-0.348-0.3399,1.99
1692,"carvana, front license bracket, vehicle, dmv, car",0.4125-0.3352-0.3243-0.3143-0.2769,1.66
1693,"pain, dirty, thursday, car, go",0.2133-0.1388-0.1315-0.1259-0.1242,0.73
1694,"fraudulent check, vehicle carvana, new check, fraudulent, carvana",0.5673-0.3751-0.37-0.335-0.3039,1.95
1695,"carvana nightmare, carvana, car, insurance, delivered",0.6565-0.6318-0.3471-0.256-0.2245,2.12
1696,"salvage title, clean title vehicle, clean title, clear title, salvage",0.6136-0.5854-0.5381-0.5152-0.4715,2.72
1697,"car buying experience, carvana, carvana website, car buying, frustrating experience",0.5735-0.5293-0.5208-0.4726-0.3854,2.48
1698,"small cleaning fee, customer care, customer care people, scratches, large purchase",0.3997-0.3605-0.3294-0.3099-0.2871,1.69
1699,"carvana, carvana * * * *, carvana * * * * *, carvana * * * * * * *, wrong car",0.4599-0.4533-0.4481-0.4388-0.3816,2.18
1700,"cancel, carvana, email verification, financial information, account",0.4714-0.3972-0.3-0.2879-0.2698,1.73
